UniqueDBIdentifier	Identifier	PosNeg	m/z	Retention time (min)	MultipleRetentionTimes	KEGG ID	HMDB	PubChem	Identity	Formula	Note	Conflict_flag_old	Conflict_1_old	Conflict_2_old
2C11_912.164745_5.74_Pos	2C11	Pos	912.164745	5.74		C00356		117058607	DL-3-Hydroxy-3-Methylglutaryl Coenzyme A	C27H44N7O20P3S				
4E11._161.093166_8.85_Neg	4E11.	Neg	161.093166	8.85		C16741	HMDB0000450	1029	DL-5-Hydroxylysine	C6H14N2O3				
4E11._163.107718_8.78_Pos	4E11.	Pos	163.107718	8.78		C16741	HMDB0000450	1029	DL-5-Hydroxylysine	C6H14N2O3				
4C4_341.108936_5.39_Neg	4C4	Neg	341.108936	5.39		C00243	HMDB0041627	6134	D-Lactose	C12H22O11				
4C4_343.123488_5.38_Pos	4C4	Pos	343.123488	5.38		C00243	HMDB0041627	6134	D-Lactose	C12H22O11				
Internal Std_138.05323_4.19_Neg	Internal Std	Neg	138.05323	4.19					DL-Homocysteine (D4)	C4H5D4NO2S				
Internal Std_140.067783_4.07_Pos	Internal Std	Pos	140.067783	4.07					DL-Homocysteine (D4)	C4H5D4NO2S				
1A9_207.077516_3.16_Neg	1A9	Neg	207.077516	3.16		C00328	HMDB0000684	846	DL-Kynurenine	C10H12N2O3				
1A9_209.092068_3.13_Pos	1A9	Pos	209.092068	3.13		C00328	HMDB0000684	846	DL-Kynurenine	C10H12N2O3				
Internal Std_136.033077_5.83_Neg	Internal Std	Neg	136.033077	5.83					"DL-Malic acid (2,3,3-D3)"	C4H3D3O5				
Internal Std_138.04763_5.83_Pos	Internal Std	Pos	138.04763	5.83					"DL-Malic acid (2,3,3-D3)"	C4H3D3O5				
3F2_182.082267_5.71_Neg	3F2	Neg	182.082267	5.71		C05589	HMDB0000819	1237	DL-Normetanephrine	C9H13NO3				
3F2_184.096819_5.6_Pos	3F2	Pos	184.096819	5.6		C05589	HMDB0000819	1237	DL-Normetanephrine	C9H13NO3				
3G11_180.086649_4.81_Pos	3G11	Pos	180.086649	4.81		C03570		440049	D-Mannosamine	C6H13NO5				
3B11_259.022443_5.89_Neg	3B11	Neg	259.022443	5.89		C00275	HMDB0001078	65127	D-Mannose 6-phosphate	C6H13O9P				
3B11_261.036995_6.02_Pos	3B11	Pos	261.036995	6.02		C00275	HMDB0001078	65127	D-Mannose 6-phosphate	C6H13O9P				
7E6._327.232954_0.99_Neg	7E6.	Neg	327.232954	0.99		C06429	HMDB0002183	445580	Docosahexaenoic acid	C22H32O2				
_329.248604_0.98_Neg		Neg	329.248604	0.98		C16513	HMDB0006528	5497182	Docosapentaenoic acid	C22H34O2				
2D10_152.071703_9.08_Neg	2D10	Neg	152.071703	9.08		C03758	HMDB0000073	681	Dopamine	C8H11NO2				
2D10_154.086255_8.89_Pos	2D10	Pos	154.086255	8.89		C03758	HMDB0000073	681	Dopamine	C8H11NO2				
2F5_131.082602_8.92_Neg	2F5	Neg	131.082602	8.92		C00515	HMDB0003374	71082	D-Ornithine	C5H12N2O2		1	KEGG ID	HMDB; Identity; PubChem
2F5_133.097154_8.92_Pos	2F5	Pos	133.097154	8.92		C00515	HMDB0003374	71082	D-Ornithine	C5H12N2O2		1	KEGG ID	HMDB; Identity; PubChem
4A9_218.103397_2.13_Neg	4A9	Neg	218.103397	2.13		C00864	HMDB0000210	6613	D-Pantothenic acid	C9H17NO5				
4A9_220.117949_2.3_Pos	4A9	Pos	220.117949	2.3		C00864	HMDB0000210	6613	D-Pantothenic acid	C9H17NO5				
6H2_179.056111_3.63_Neg	6H2	Neg	179.056111	3.63		C06468		441036	D-Psicose	C6H12O6				
6H5_149.045547_3.47_Neg	6H5	Neg	149.045547	3.47		C00121	HMDB0000283	10975657	D-Ribose	C5H10O5				
4G4_229.011878_5.72_Neg	4G4	Neg	229.011878	5.72		C00117	HMDB0001548	439167	D-Ribose 5-phosphate	C5H11O8P				
4G4_231.02643_5.72_Pos	4G4	Pos	231.02643	5.72		C00117	HMDB0001548	439167	D-Ribose 5-phosphate	C5H11O8P				
4C1_209.030291_6.3_Neg	4C1	Neg	209.030291	6.3		C00818	HMDB0000663	33037	D-Saccharic acid	C6H10O8				
6G8_181.071761_4.39_Neg	6G8	Neg	181.071761	4.39		C00794	HMDB0000247	5780	D-Sorbitol	C6H14O6				
6G8_183.086315_4.39_Pos	6G8	Pos	183.086315	4.39		C00794	HMDB0000247	5780	D-Sorbitol	C6H14O6				
6G10_179.056111_4.15_Neg	6G10	Neg	179.056111	4.15		C00795	HMDB0003418	439312	D-Tagatose	C6H12O6				
2B2_203.082602_3.55_Neg	2B2	Neg	203.082602	3.55		C00525	HMDB0013609	9060	D-Tryptophan	C11H12N2O2		1	KEGG ID	HMDB; Identity; PubChem
2B2_205.097154_3.52_Pos	2B2	Pos	205.097154	3.52		C00525	HMDB0013609	9060	D-Tryptophan	C11H12N2O2		1	KEGG ID	HMDB; Identity; PubChem
6G1_149.045547_4.19_Neg	6G1	Neg	149.045547	4.19		C00181	HMDB0000098	135191	D-Xylose	C5H10O5				
7B4_281.248604_1_Neg	7B4	Neg	281.248604	1		C01712	HMDB0000573	637517	Elaidic acid	C18H34O2				
4F4_184.096819_8.87_Pos	4F4	Pos	184.096819	8.87		C00788	HMDB0000068	5816	Epinephrine	C9H13NO3				
7C7_337.311204_0.97_Neg	7C7	Neg	337.311204	0.97		C08316	HMDB0002068	5281116	Erucic acid	C22H42O2				
3H10_121.050633_3.46_Neg	3H10	Neg	121.050633	3.46		C00503	HMDB0002994	222285	Erythritol	C4H10O4				
2E11._62.06004_7.93_Pos	2E11.	Pos	62.06004	7.93		C00189	HMDB0000149	700	Ethanolamine	C2H7NO				
6F1_202.087352_1.19_Neg	6F1	Neg	202.087352	1.19				13067	Ethyl 3-Indoleacetate	C12H13NO2				
6F1_204.101905_1.26_Pos	6F1	Pos	204.101905	1.26				13067	Ethyl 3-Indoleacetate	C12H13NO2				
5G2_131.034983_4.36_Neg	5G2	Neg	131.034983	4.36			HMDB0000622	11756	Ethylmalonic acid	C5H8O4				
5D8_193.050633_1.76_Neg	5D8	Neg	193.050633	1.76		C01494	HMDB0000954	445858	Ferulate	C10H10O4				
5D8_195.065185_1.86_Pos	5D8	Pos	195.065185	1.86		C01494	HMDB0000954	445858	Ferulate	C10H10O4				
3D8_784.149857_3.75_Neg	3D8	Neg	784.149857	3.75		C00016	HMDB0001248	643975	Flavin adenine dinucleotide	C27H33N9O15P2				
3D8_786.164412_3.83_Pos	3D8	Pos	786.164412	3.83		C00016	HMDB0001248	643975	Flavin adenine dinucleotide	C27H33N9O15P2				
1G12_440.132405_6.34_Neg	1G12	Neg	440.132405	6.34		C00504	HMDB0000121	135398658	Folic acid	C19H19N7O6				
1G12_442.146957_6.37_Pos	1G12	Pos	442.146957	6.37		C00504	HMDB0000121	135398658	Folic acid	C19H19N7O6				
4D7_176.038688_1.77_Neg	4D7	Neg	176.038688	1.77		C11439		911	Formyl-l-methionyl peptide	C6H11NO3S				
4D7_178.053241_1.78_Pos	4D7	Pos	178.053241	1.78		C11439		911	Formyl-l-methionyl peptide	C6H11NO3S				
1E9._338.988774_7.87_Neg	1E9.	Neg	338.988774	7.87		C00354	HMDB0001058	5460765	"Fructose 1,6-bisphosphate"	C6H14O12P2				
1E9._341.003325_7.59_Pos	1E9.	Pos	341.003325	7.59		C00354	HMDB0001058	5460765	"Fructose 1,6-bisphosphate"	C6H14O12P2				
5G4_115.003683_5.85_Neg	5G4	Neg	115.003683	5.85		C00122	HMDB0000134	5460307	Fumarate	C4H4O4				
Internal Std_119.017101_5.85_Neg	Internal Std	Neg	119.017101	5.85					Fumaric acid (13C4)	[13]C4H4O4				
Internal Std_121.031654_5.85_Pos	Internal Std	Pos	121.031654	5.85					Fumaric acid (13C4)	[13]C4H4O4	different between 2020 and 2021			
2F11_209.030291_6.51_Neg	2F11	Neg	209.030291	6.51		C00879	HMDB0000639	3037582	Galactarate	C6H10O8				
2C5_181.071762_4.55_Neg	2C5	Neg	181.071762	4.55		C01697	HMDB0000107	11850	Galactitol	C6H14O6				
2C5_183.086314_4.53_Pos	2C5	Pos	183.086314	4.53		C01697	HMDB0000107	11850	Galactitol	C6H14O6				
3A6_244.998551_4.34_Neg	3A6	Neg	244.998551	4.34		C00235	HMDB0001120	647	"Gamma,gamma-dimethylallyl pyrophosphate"	C5H12O7P2				
7D6_277.217304_1.01_Neg	7D6	Neg	277.217304	1.01		C06426	HMDB0003073	5280933	Gamma-linolenic acid	C18H30O2				
7D6_279.231857_1.01_Pos	7D6	Pos	279.231857	1.01		C06426	HMDB0003073	5280933	Gamma-linolenic acid	C18H30O2				
6B12_313.061149_1.21_Neg	6B12	Neg	313.061149	1.21		C00353	HMDB0001285	445995	Geranyl pyrophosphate	C10H20O7P2				
3H11_194.067011_5.96_Neg	3H11	Neg	194.067011	5.96				73563	Glucosaminate	C6H13NO6				
3H11_196.081563_5.99_Pos	3H11	Pos	196.081563	5.99				73563	Glucosaminate	C6H13NO6				
3H4_131.034983_5.22_Neg	3H4	Neg	131.034983	5.22		C00489	HMDB0000661	743	Glutaric acid	C5H8O4				
2E5._274.129612_4.14_Neg	2E5.	Neg	274.129612	4.14			HMDB0013130	71317118	Glutaryl-L-Carnitine	C12H21NO6				
2E5._276.144164_4.22_Pos	2E5.	Pos	276.144164	4.22			HMDB0013130	71317118	Glutaryl-L-Carnitine	C12H21NO6				
3H9_306.076529_4.49_Neg	3H9	Neg	306.076529	4.49		C00051	HMDB0000125	124886	Glutathione	C10H17N3O6S				
3H9_308.091082_4.49_Pos	3H9	Pos	308.091082	4.49		C00051	HMDB0000125	124886	Glutathione	C10H17N3O6S				
Internal Std_309.080274_4.72_Neg	Internal Std	Neg	309.080274	4.72					"Glutathione (13C2, 15N)"	[13]C2C8H17[15]NN2O6S				
Internal Std_311.094827_4.72_Pos	Internal Std	Pos	311.094827	4.72					"Glutathione (13C2, 15N)"	[13]C2C8H17[15]NN2O6S				
Flores_611.144685_6.45_Neg	Flores	Neg	611.144685	6.45		C00127	HMDB0003337	65359	Glutathione disulfide	C20H32N6O12S2				
Flores_613.159238_6.45_Pos	Flores	Pos	613.159238	6.45		C00127	HMDB0003337	65359	Glutathione disulfide	C20H32N6O12S2				
Kim's std_168.990748_6.06_Neg	Kim's std	Neg	168.990748	6.06		C00118	HMDB0001112	729	Glyceraldehyde 3-phosphate	C3H7O6P	Wright Dec.			
Kim's std_171.005301_5.53_Pos	Kim's std	Pos	171.005301	5.53		C00118	HMDB0001112	729	Glyceraldehyde 3-phosphate	C3H7O6P				
3E7._243.063914_2.79_Neg	3E7.	Neg	243.063914	2.79					Glyceraldehyde 3-phosphate diethyl acetal	C7H17O7P	CA1402 (Metabolomics Workbench)			
1D7_105.019333_3.9_Neg	1D7	Neg	105.019333	3.9		C00258	HMDB0000139	439194	Glycerate	C3H6O4				
Kim's std_264.951993_6.8_Neg	Kim's std	Neg	264.951993	6.8		C00236	HMDB0001270	683	"Glycerate-1,3-diphosphate"	C3H8O10P2				
Kim's std_266.966546_6.92_Pos	Kim's std	Pos	266.966546	6.92		C00236	HMDB0001270	683	"Glycerate-1,3-diphosphate"	C3H8O10P2				
4H1_171.006399_4.93_Neg	4H1	Neg	171.006399	4.93		C02979	HMDB0002520	2526	Glycerol 2-phosphate	C3H9O6P				
4H1_173.020951_5.06_Pos	4H1	Pos	173.020951	5.06		C02979	HMDB0002520	2526	Glycerol 2-phosphate	C3H9O6P				
1D1_74.024752_5.34_Neg	1D1	Neg	74.024752	5.34		C00037	HMDB0000123	750	Glycine	C2H5NO2				
1D1_76.039304_5.32_Pos	1D1	Pos	76.039304	5.32		C00037	HMDB0000123	750	Glycine	C2H5NO2				
Internal Std_76.031461_5.34_Neg	Internal Std	Neg	76.031461	5.34					"Glycine (1,2-13C2)"	[13]C2H5NO2				
Internal Std_78.046015_5.34_Pos	Internal Std	Pos	78.046015	5.34					"Glycine (1,2-13C2)"	[13]C2H5NO2				
5E1._414.300271_1.17_Pos	5E1.	Pos	414.300271	1.17		C05466		12544	Glycochenodeoxycholate	C26H43NO5	2 water loss	1	Identity; KEGG ID	PubChem
5E1._432.310835_1.17_Pos	5E1.	Pos	432.310835	1.17		C05466		12544	Glycochenodeoxycholate	C26H43NO5	water loss	1	Identity; KEGG ID	PubChem
5E1._448.306848_1.15_Neg	5E1.	Neg	448.306848	1.15		C05466		12544	Glycochenodeoxycholate	C26H43NO5		1	Identity; KEGG ID	PubChem
5E1._450.3214_1.17_Pos	5E1.	Pos	450.3214	1.17		C05466		12544	Glycochenodeoxycholate	C26H43NO5		1	Identity; KEGG ID	PubChem
5D9_430.295185_2.85_Pos	5D9	Pos	430.295185	2.85		C01921	HMDB0000138	10140	Glycocholate	C26H43NO6	2 water loss			
5D9_448.30575_2.85_Pos	5D9	Pos	448.30575	2.85		C01921	HMDB0000138	10140	Glycocholate	C26H43NO6	water loss			
5D9_464.301762_1.28_Neg	5D9	Neg	464.301762	1.28		C01921	HMDB0000138	10140	Glycocholate	C26H43NO6				
5D9_466.316314_1.31_Pos	5D9	Pos	466.316314	1.31		C01921	HMDB0000138	10140	Glycocholate	C26H43NO6				
Cleveland's std_72.993117_2.53_Neg	Cleveland's std	Neg	72.993117	2.53		C00048	HMDB0000119	760	Glyoxylic acid	C2H2O3				
1H7_116.046551_5.26_Neg	1H7	Neg	116.046551	5.26		C00581	HMDB0000128	763	Guanidinoacetate	C3H7N3O2				
1H7_118.061103_5.29_Pos	1H7	Pos	118.061103	5.29		C00581	HMDB0000128	763	Guanidinoacetate	C3H7N3O2				
1G6_150.042134_3.7_Neg	1G6	Neg	150.042134	3.7		C00242	HMDB0000132	135398634	Guanine	C5H5N5O				
1G6_152.056686_3.7_Pos	1G6	Pos	152.056686	3.7		C00242	HMDB0000132	135398634	Guanine	C5H5N5O				
1F10_282.084393_3.89_Neg	1F10	Neg	282.084393	3.89		C00387	HMDB0000133	135398635	Guanosine	C10H13N5O5				
3E8._344.040159_4.24_Neg	3E8.	Neg	344.040159	4.24		C00942	HMDB0001314	135398570	"Guanosine 3',5'-cyclic monophosphate"	C10H12N5O7P				
3E8._346.054711_4.34_Pos	3E8.	Pos	346.054711	4.34		C00942	HMDB0001314	135398570	"Guanosine 3',5'-cyclic monophosphate"	C10H12N5O7P				
3F4_442.017054_6.91_Neg	3F4	Neg	442.017054	6.91		C00035	HMDB0001201	135398619	Guanosine 5'-diphosphate	C10H15N5O11P2				
3F4_444.031606_6.96_Pos	3F4	Pos	444.031606	6.96		C00035	HMDB0001201	135398619	Guanosine 5'-diphosphate	C10H15N5O11P2				
3H7_604.069878_6.93_Neg	3H7	Neg	604.069878	6.93				135402032	Guanosine 5'-diphospho-D-mannose	C16H25N5O16P2				
3H7_606.084429_6.98_Pos	3H7	Pos	606.084429	6.98				135402032	Guanosine 5'-diphospho-D-mannose	C16H25N5O16P2				
3G7_362.050724_6.16_Neg	3G7	Neg	362.050724	6.16		C00144	HMDB0001397	135398631	Guanosine 5'-monophosphate	C10H14N5O8P				
3G7_364.065276_6.21_Pos	3G7	Pos	364.065276	6.21		C00144	HMDB0001397	135398631	Guanosine 5'-monophosphate	C10H14N5O8P				
2G8_521.983385_7.61_Neg	2G8	Neg	521.983385	7.61		C00044	HMDB0001273	135398633	Guanosine 5'-triphosphate	C10H16N5O14P3				
2G8_523.997937_7.73_Pos	2G8	Pos	523.997937	7.73		C00044	HMDB0001273	135398633	Guanosine 5'-triphosphate	C10H16N5O14P3				
7C11_269.248604_1_Neg	7C11	Neg	269.248604	1			HMDB0002259	4113470	Heptadecanoate	C17H34O2	KEGG not available	1	KEGG ID	Formula; HMDB; Identity; PubChem
7B1_129.092103_1.14_Neg	7B1	Neg	129.092103	1.14		C17714	HMDB0000666	8094	Heptanoic acid	C7H14O2				
7B1_131.106656_1.16_Pos	7B1	Pos	131.106656	1.16		C17714	HMDB0000666	8094	Heptanoic acid	C7H14O2				
_260.185635_2.23_Pos		Pos	260.185635	2.23			HMDB0000756	3246938	Hexanoyl-L-Carnitine	C13H25NO4				
5G1_178.050967_1.33_Neg	5G1	Neg	178.050967	1.33		C01586	HMDB0000714	464	Hippurate	C9H9NO3				
5G1_180.065519_1.45_Pos	5G1	Pos	180.065519	1.45		C01586	HMDB0000714	464	Hippurate	C9H9NO3				
3F10_112.086923_9.94_Pos	3F10	Pos	112.086923	9.94		C00388	HMDB0000870	774	Histamine	C5H9N3				
2F3_267.047872_5.71_Neg	2F3	Neg	267.047872	5.71		C01817	HMDB0000575	10010	Homocystine	C8H16N2O4S2				
2F3_269.062424_5.72_Pos	2F3	Pos	269.062424	5.72		C01817	HMDB0000575	10010	Homocystine	C8H16N2O4S2				
6D5_167.034982_2.45_Neg	6D5	Neg	167.034982	2.45		C00544	HMDB0000130	780	Homogentisate	C8H8O4				
6C8_181.050632_2.19_Neg	6C8	Neg	181.050632	2.19		C05582	HMDB0000118	1738	Homovanillate	C9H10O4				
6A3_111.044056_1.03_Pos	6A3	Pos	111.044056	1.03		C00530	HMDB0002434	785	Hydroquinone	C6H6O2				
_248.149249_3.46_Pos		Pos	248.149249	3.46			HMDB0013127	53481617	Hydroxybutyryl-Carnitine	C11H21NO5				
1A3_108.012473_4.94_Neg	1A3	Neg	108.012473	4.94		C00519	HMDB0000965	107812	Hypotaurine	C2H7NO2S				
1A3_110.027025_4.98_Pos	1A3	Pos	110.027025	4.98		C00519	HMDB0000965	107812	Hypotaurine	C2H7NO2S				
1F7_135.031235_2.8_Neg	1F7	Neg	135.031235	2.8		C00262	HMDB0000157	135398638	Hypoxanthine	C5H4N4O				
1F7_137.045787_2.86_Pos	1F7	Pos	137.045787	2.86		C00262	HMDB0000157	135398638	Hypoxanthine	C5H4N4O				
7E1._116.050573_1.57_Neg	7E1.	Neg	116.050573	1.57		C00463	HMDB0000738	798	Indole	C8H7N				
6D6_158.061137_1.34_Neg	6D6	Neg	158.061137	1.34		C00637	HMDB0001190	800	Indole-3-Acetaldehyde	C10H9NO				
6D6_160.075691_1.29_Pos	6D6	Pos	160.075691	1.29		C00637	HMDB0001190	800	Indole-3-Acetaldehyde	C10H9NO				
5F12_173.072037_1.55_Neg	5F12	Neg	173.072037	1.55		C02693	HMDB0029739	397	Indole-3-Acetamide	C10H10N2O				
5F12_175.086589_1.55_Pos	5F12	Pos	175.086589	1.55		C02693	HMDB0029739	397	Indole-3-Acetamide	C10H10N2O				
5C7_174.056053_2.26_Neg	5C7	Neg	174.056053	2.26		C00954	HMDB0000197	801	Indole-3-acetate	C10H9NO2		1	HMDB	Formula; Identity; KEGG ID; PubChem
5C7_176.070605_2.41_Pos	5C7	Pos	176.070605	2.41		C00954	HMDB0000197	801	Indole-3-acetate	C10H9NO2		1	HMDB	Formula; Identity; KEGG ID; PubChem
5D7_160.076788_1.41_Neg	5D7	Neg	160.076788	1.41		C00955	HMDB0003447	10685	Indole-3-Ethanol	C10H11NO				
5D7_162.091341_1.37_Pos	5D7	Pos	162.091341	1.37		C00955	HMDB0003447	10685	Indole-3-Ethanol	C10H11NO				
3F11_212.002302_2.18_Neg	3F11	Neg	212.002302	2.18			HMDB0000682	10258	Indoxyl sulfate	C8H7NO4S				
1B8_267.073494_3.17_Neg	1B8	Neg	267.073494	3.17		C00294	HMDB0000195	135398641	Inosine	C10H12N4O5				
1B8_269.088046_3.18_Pos	1B8	Pos	269.088046	3.18		C00294	HMDB0000195	135398641	Inosine	C10H12N4O5				
2H3_427.006155_6.35_Neg	2H3	Neg	427.006155	6.35		C00104	HMDB0003335	135445743	Inosine 5'-Diphosphate	C10H14N4O11P2				
2H3_429.020707_6.39_Pos	2H3	Pos	429.020707	6.39		C00104	HMDB0003335	135445743	Inosine 5'-Diphosphate	C10H14N4O11P2				
1A4_347.039824_5.61_Neg	1A4	Neg	347.039824	5.61		C00130	HMDB0000175	135398640	Inosine 5'-phosphate	C10H13N4O8P				
1A4_349.054376_5.68_Pos	1A4	Pos	349.054376	5.68		C00130	HMDB0000175	135398640	Inosine 5'-phosphate	C10H13N4O8P				
4F10_506.972486_7.04_Neg	4F10	Neg	506.972486	7.04		C00081	HMDB0000189	136245633	Inosine 5'-triphosphate	C10H15N4O14P3				
4F10_508.987038_7.06_Pos	4F10	Pos	508.987038	7.06		C00081	HMDB0000189	136245633	Inosine 5'-triphosphate	C10H15N4O14P3				
1H1_191.019727_7.44_Neg	1H1	Neg	191.019727	7.44		C00311	HMDB0000193	1198	Isocitric acid	C6H8O7				
Abate-daga_244.998549_4.32_Neg	Abate-daga	Neg	244.998549	4.32		C00129	HMDB0001347	1195	Isopentenyl Pyrophosphate	C5H12O7P2	New metabolite added			
Abate-daga_247.013102_4.32_Pos	Abate-daga	Pos	247.013102	4.32		C00129	HMDB0001347	1195	Isopentenyl Pyrophosphate	C5H12O7P2				
6A9_129.019332_5.27_Neg	6A9	Neg	129.019332	5.27		C00490	HMDB0002092	811	Itaconate	C5H6O4				
1H6_184.985664_6.44_Neg	1H6	Neg	184.985664	6.44		C00631	HMDB0000362	59	L-2-Phosphoglyceric acid	C3H7O7P		1	HMDB; KEGG ID; PubChem	Identity
1H6_187.000216_6.47_Pos	1H6	Pos	187.000216	6.47		C00631	HMDB0000362	59	L-2-Phosphoglyceric acid	C3H7O7P	?	1	HMDB; KEGG ID; PubChem	Identity
1E1._88.040403_4.95_Neg	1E1.	Neg	88.040403	4.95		C00041	HMDB0000161	5950	L-Alanine	C3H7NO2				
1E1._90.054955_4.95_Pos	1E1.	Pos	90.054955	4.95		C00041	HMDB0000161	5950	L-Alanine	C3H7NO2				
Internal Std_91.050466_4.95_Neg	Internal Std	Neg	91.050466	4.95					L-Alanine (13C3)	[13]C3H7NO2				
Internal Std_93.065019_4.95_Pos	Internal Std	Pos	93.065019	4.95					L-Alanine (13C3)	[13]C3H7NO2				
4E3._118.050967_4.71_Neg	4E3.	Neg	118.050967	4.71		C05519	HMDB0004041	99289	L-Allothreonine	C4H9NO3				
4E3._120.065519_4.76_Pos	4E3.	Pos	120.065519	4.76		C05519	HMDB0004041	99289	L-Allothreonine	C4H9NO3				
4E9._239.114964_4.56_Neg	4E9.	Neg	239.114964	4.56		C01262	HMDB0000194	112072	L-Anserine	C10H16N4O3				
4E9._241.129516_4.61_Pos	4E9.	Pos	241.129516	4.61		C01262	HMDB0000194	112072	L-Anserine	C10H16N4O3				
6H3_151.061197_3.99_Neg	6H3	Neg	151.061197	3.99		C00532	HMDB0001851	439255	L-Arabitol	C5H12O5				
6H3_153.07575_4.01_Pos	6H3	Pos	153.07575	4.01		C00532	HMDB0001851	439255	L-Arabitol	C5H12O5				
2E12._173.104399_10.97_Neg	2E12.	Neg	173.104399	10.97		C00062	HMDB0000517	6322	L-Arginine	C6H14N4O2				
2E12._175.118952_10.97_Pos	2E12.	Pos	175.118952	10.97		C00062	HMDB0000517	6322	L-Arginine	C6H14N4O2				
Internal Std_179.124528_10.97_Neg	Internal Std	Neg	179.124528	10.97					L-Arginine (U-13C6)	[13]C6H14N4O2				
Internal Std_181.139081_10.97_Pos	Internal Std	Pos	181.139081	10.97					L-Arginine (U-13C6)	[13]C6H14N4O2				
1G4_131.046216_5.12_Neg	1G4	Neg	131.046216	5.12		C00152	HMDB0000168	6267	L-Asparagine	C4H8N2O3				
1G4_133.060768_5.21_Pos	1G4	Pos	133.060768	5.21		C00152	HMDB0000168	6267	L-Asparagine	C4H8N2O3				
1F5_132.030232_5.27_Neg	1F5	Neg	132.030232	5.27		C00049	HMDB0000191	5960	L-Aspartic acid	C4H7NO4				
1F5_134.044784_5.42_Pos	1F5	Pos	134.044784	5.42		C00049	HMDB0000191	5960	L-Aspartic acid	C4H7NO4				
7C5_199.170353_1.03_Neg	7C5	Neg	199.170353	1.03		C02679	HMDB0000638	3893	Lauric acid	C12H24O2				
3D11_342.264983_1.29_Neg	3D11	Neg	342.264983	1.29			HMDB0002250	168381	Lauroylcarnitine	C19H37NO4				
3D11_344.279535_1.29_Pos	3D11	Pos	344.279535	1.29	1		HMDB0002250	168381	Lauroylcarnitine	C19H37NO4				
3D11_344.279535_2.22_Pos	3D11	Pos	344.279535	2.22	1		HMDB0002250	168381	Lauroylcarnitine	C19H37NO4				
3C1_160.097917_4.21_Neg	3C1	Neg	160.097917	4.21		C00318	HMDB0000062	10917	L-Carnitine	C7H15NO3		1	HMDB; KEGG ID; PubChem	Identity
3C1_162.112469_4.21_Pos	3C1	Pos	162.112469	4.21		C00318	HMDB0000062	10917	L-Carnitine	C7H15NO3		1	HMDB; KEGG ID; PubChem	Identity
Internal Std_169.154407_4.21_Neg	Internal Std	Neg	169.154407	4.21					L-Carnitine (trimethyl-D9)	C7H6D9NO3				
Internal Std_171.168961_4.21_Pos	Internal Std	Pos	171.168961	4.21					L-Carnitine (trimethyl-D9)	C7H6D9NO3				
2E6._221.060152_5.9_Neg	2E6.	Neg	221.060152	5.9		C02291	HMDB0000099	439258	L-Cystathionine	C7H14N2O4S		1	HMDB; KEGG ID; PubChem	Identity
2E6._223.074704_5.95_Pos	2E6.	Pos	223.074704	5.95		C02291	HMDB0000099	439258	L-Cystathionine	C7H14N2O4S		1	HMDB; KEGG ID; PubChem	Identity
2H10_167.997217_5.51_Neg	2H10	Neg	167.997217	5.51		C00506	HMDB0002757	72886	L-Cysteic acid	C3H7NO5S				
2H10_170.011769_5.64_Pos	2H10	Pos	170.011769	5.64		C00506	HMDB0002757	72886	L-Cysteic acid	C3H7NO5S				
1B3_120.012473_4.66_Neg	1B3	Neg	120.012473	4.66		C00097	HMDB0000574	5862	L-Cysteine	C3H7NO2S				
1B3_122.027025_4.69_Pos	1B3	Pos	122.027025	4.69		C00097	HMDB0000574	5862	L-Cysteine	C3H7NO2S				
Pyo's std_199.969287_5.63_Neg	Pyo's std	Neg	199.969287	5.63			HMDB0000731	115015	L-Cysteine-S-sulfate	C3H7NO5S2				
1H5_177.033937_2.75_Neg	1H5	Neg	177.033937	2.75		C01419	HMDB0000078	439498	L-Cysteinylglycine	C5H10N2O3S				
1H5_179.048489_2.75_Pos	1H5	Pos	179.048489	2.75		C01419	HMDB0000078	439498	L-Cysteinylglycine	C5H10N2O3S				
1D12_239.016572_5.73_Neg	1D12	Neg	239.016572	5.73		C01420	HMDB0000192	67678	L-Cystine	C6H12N2O4S2				
1D12_241.031124_5.88_Pos	1D12	Pos	241.031124	5.88		C01420	HMDB0000192	67678	L-Cystine	C6H12N2O4S2				
5H5_173.009162_2.86_Neg	5H5	Neg	173.009162	2.86		C05422	HMDB0001264	440667	L-Dehydroascorbic acid	C6H6O6				
1C1_146.045882_4.87_Neg	1C1	Neg	146.045882	4.87		C00025	HMDB0000148	33032	L-Glutamic acid	C5H9NO4				
1C1_148.060434_4.87_Pos	1C1	Pos	148.060434	4.87		C00025	HMDB0000148	33032	L-Glutamic acid	C5H9NO4				
Internal Std_151.062655_4.87_Neg	Internal Std	Neg	151.062655	4.87					L-Glutamic acid (13C5)	[13]C5H9NO4				
Internal Std_153.077208_4.87_Pos	Internal Std	Pos	153.077208	4.87					L-Glutamic acid (13C5)	[13]C5H9NO4				
1A2_145.061866_5.09_Neg	1A2	Neg	145.061866	5.09		C00064	HMDB0000641	5961	L-Glutamine	C5H10N2O3				
1A2_147.076418_5.07_Pos	1A2	Pos	147.076418	5.07		C00064	HMDB0000641	5961	L-Glutamine	C5H10N2O3				
Internal Std_150.07864_5.09_Neg	Internal Std	Neg	150.07864	5.09					L-Glutamine (13C5)	[13]C5H10N2O3				
Internal Std_152.093193_5.09_Pos	Internal Std	Pos	152.093193	5.09					L-Glutamine (13C5)	[13]C5H10N2O3				
